cohort,variant,baseline,seed,split,ER20_delta,F20_delta,LE_CD_delta,LR_CD_delta,SELD_LR_delta
audited_rabbit02,C2,C0,2027,evaluation,0.006030824212642449,-0.02958334359226189,1.5943428336507353,-0.02591802020373457,0.017597412048896865
audited_rabbit02,C2,C0,2027,validation,-0.011197372349955215,-0.013400398228773591,1.5354289341438534,-0.02317545195084425,0.008477159643726528
audited_rabbit02,C2,C0,2028,evaluation,0.004318367954731617,-0.0006674694356928468,-1.4261240256065992,-0.031367210996551265,0.00710753428340144
audited_rabbit02,C2,C0,2028,validation,0.00014929829799936734,0.015181918154513974,-2.3115715504200285,-0.025795210540773272,-0.0005198683711853391
audited_rabbit02,C3_j020,C0,2026,evaluation,-0.01995383813565632,-0.020752324523213295,0.4013490087104401,-0.03277326384427648,0.008950366736722892
audited_rabbit02,C3_j020,C0,2026,validation,-0.04195282173783221,-0.008230588434504305,-0.22550727602937215,-0.02337847240403379,-0.0028991447748643595
audited_rabbit02,C3_j020,C0,2027,evaluation,0.05911696820787726,-0.06896318732863382,4.876464916135282,-0.007717996289424933,0.040722405895560754
audited_rabbit02,C3_j020,C0,2027,validation,0.023290534487906855,-0.03567693229222979,4.7168394460399465,-0.0011279640700749827,0.021575023609830546
audited_rabbit02,C3_j020,C0,2028,evaluation,-0.018837018837018826,0.006946387301697832,-0.1546084647456336,-0.01663396884364643,-0.0025020933025809433
audited_rabbit02,C3_j020,C0,2028,validation,-0.00836070468796657,0.012090048422914612,-0.62851458706489,-0.01751123295558077,-0.001607816965304043
historical_EINV2_causal,C1,C0.1,2026,evaluation,-0.02538902538902532,-0.0003109982202859074,0.6302383431774299,-0.0180029768933595,-0.0008934315366541101
historical_EINV2_causal,C1,C0.1,2026,validation,-0.014780531501940919,-0.0026218182611132956,0.5014299558798925,-0.012702406834356528,0.0008323538926598428
historical_EINV2_causal,C1,C0.1,2027,evaluation,-0.0034249125158216653,-0.01418507908003086,3.1934800148940177,0.013276080575220783,0.0038064104068221694
historical_EINV2_causal,C1,C0.1,2027,validation,0.02239474469991043,-0.03549856567176535,3.9851626088827015,0.0074220305521436325,0.01815276802277571
historical_EINV2_causal,C1,C0.1,2028,evaluation,0.13394386121658852,-0.042277547655574566,-1.077966568316656,-0.028225012157771734,0.049614429468154975
historical_EINV2_causal,C1,C0.1,2028,validation,0.039265452373842935,0.016695664683636147,-3.016908993383433,-0.008856856550777503,0.003666509680546881
historical_EINV2_causal,C2,C0.1,2026,evaluation,-0.023899932990842032,0.005214723069948524,0.8992680032821188,0.0030977183557434618,-0.006804110266241725
historical_EINV2_causal,C2,C0.1,2026,validation,-0.0016422812779934848,-0.010441509263919624,0.008805186639140317,-0.010320036375750186,0.004792045516306798
historical_EINV2_causal,C2,C0.1,2027,evaluation,-0.02136847591393043,-0.004149809101884672,0.40564919104383534,-0.01554144971387128,0.00014409737968390512
historical_EINV2_causal,C2,C0.1,2027,validation,0.0037324574499850716,-0.006752609510943364,1.156352323212694,0.007649974893403688,0.0023148179102321365
historical_EINV2_causal,C2,C0.1,2028,evaluation,0.06053160598615137,-0.04082843132374658,1.058212484909463,-0.02645723635224273,0.03342405797790943
historical_EINV2_causal,C2,C0.1,2028,validation,0.029859659599880573,-0.009932685567879962,1.1475965730448632,-0.008558838371668598,0.013681680014086262
historical_EINV2_causal,C3,C0.1,2026,evaluation,-0.029409574864120325,0.0253058735127073,-1.6683923921453552,-0.005814366796133674,-0.014542482050931005
historical_EINV2_causal,C3,C0.1,2026,validation,-0.04478948939982086,0.04654609836924417,-4.649610497017987,0.006428820474261521,-0.030898894417801026
historical_EINV2_causal,C3,C0.1,2027,evaluation,0.012136103045193969,-0.0013578923752194383,0.663690735377406,0.012696762696762676,0.0011211008689369084
historical_EINV2_causal,C3,C0.1,2027,validation,-0.005374738727978445,0.010767614482784738,0.4907170576699933,0.024289544426270626,-0.00942642294027235
historical_EINV2_causal,C3,C0.1,2028,evaluation,0.06909388727570542,-0.026845779511567636,-0.5867075638085577,-0.024398928857857216,0.029269777294881782
historical_EINV2_causal,C3,C0.1,2028,validation,0.02045386682591821,0.01094675000580303,-1.2050044669821585,-0.0023542845624398012,0.0012917330303857666
historical_EINV2_noncausal,E1,E0,2026,evaluation,-0.007892189710371478,-0.004255852403576399,-0.055318679712030416,-0.009687654186653849,0.001435997720364679
