family,context,variant,weight,split,profile,n,seeds,ER20_mean,ER20_sample_sd,F20_mean,F20_sample_sd,LE_CD_mean,LE_CD_sample_sd,LF_CD_mean,LF_CD_sample_sd,SELD_LF_mean,SELD_LF_sample_sd,LR_CD_mean,LR_CD_sample_sd,SELD_LR_mean,SELD_LR_sample_sd
EINV2,causal,C3,0.2,validation,dcase2023_macro,3,"2026,2027,2028",0.6384492883447795,0.0039056084718290577,0.5461596841446561,0.015194025317543833,12.16773540714978,1.159731886965262,,,,,0.6702785037988216,0.01853035389622514,0.3724024076102558,0.009764483778037342
EINV2,causal,C3,0.2,validation,dcase2023_micro,3,"2026,2027,2028",0.6384492883447795,0.0039056084718290577,0.5691126888207566,0.011120249530564895,12.955051492229957,1.1025960958874046,,,,,0.6930381627347936,0.010974002947608575,0.36206773626984895,0.006912753016984943
EINV2,noncausal,E0,0,evaluation,dcase2020_source,3,"2026,2027,2028",0.3473433983258731,0.0032862956877555004,0.7373822952540061,0.007673833116490452,10.340497993000318,0.46720401428678726,0.8043705534106085,0.0015024259480385153,0.21575944018337062,0.0028372525928342103,,,,
EINV2,noncausal,E0,0,evaluation,dcase2020_web_lr,3,"2026,2027,2028",0.3473433983258731,0.0032862956877555004,0.7373822952540061,0.007673833116490452,10.340497993000318,0.46720401428678726,,,,,0.79182156133829,0.0029392869475472934,0.21889668820145025,0.0025478235218224198
EINV2,noncausal,E0,0,evaluation,dcase2023_macro,3,"2026,2027,2028",0.37609510336783064,0.005336029859094196,0.7374681665439228,0.007532654559945769,9.582538545258636,0.25599840755463915,,,,,0.7839702118295299,0.00024405939007599486,0.2269732625614537,0.0032853239460008416
EINV2,noncausal,E0,0,evaluation,dcase2023_micro,3,"2026,2027,2028",0.37609510336783064,0.005336029859094196,0.722957017962211,0.007630686656978083,10.28638392329191,0.47367758059235204,,,,,0.7850490286610236,0.0026070177717684656,0.23130890852405445,0.002945227695359545
EINV2,noncausal,E0,0,validation,dcase2020_source,3,"2026,2027,2028",0.3943404837973528,0.01336474318539179,0.6995368154174633,0.011430099664754594,10.16835756647172,0.3167876471993061,0.7663329544011706,0.007187634495299376,0.24624039733700157,0.008425524652951927,,,,
EINV2,noncausal,E0,0,validation,dcase2020_web_lr,3,"2026,2027,2028",0.3943404837973528,0.01336474318539179,0.6995368154174633,0.011430099664754594,10.16835756647172,0.3167876471993061,,,,,0.757442060956438,0.005409625015441033,0.24846312069818474,0.007986586010365738
EINV2,noncausal,E0,0,validation,dcase2023_macro,3,"2026,2027,2028",0.4281377525629541,0.014110334769316389,0.6746168124048602,0.017770778717468343,9.788850092950227,0.41748016845588726,,,,,0.7463750166816363,0.009749383681284814,0.26538210599821194,0.010448243102493773
EINV2,noncausal,E0,0,validation,dcase2023_micro,3,"2026,2027,2028",0.4281377525629541,0.014110334769316389,0.6809402817242757,0.011959993233119824,10.226414588798251,0.33186789763358865,,,,,0.7474960244439492,0.006737879830173643,0.2641287151942354,0.00865173697034912
EINV2,noncausal,E1,0.2,evaluation,dcase2020_source,3,"2026,2027,2028",0.335482892041575,0.007216920713427801,0.7439935359179563,0.007483721369698601,10.193697680981296,0.5772227603018345,0.8106283457885807,0.007391551444192885,0.20937316602956688,0.005471346840180087,,,,
EINV2,noncausal,E1,0.2,evaluation,dcase2020_web_lr,3,"2026,2027,2028",0.335482892041575,0.007216920713427801,0.7439935359179563,0.007483721369698601,10.193697680981296,0.5772227603018345,,,,,0.7939458311205523,0.013015298992015886,0.21354379469657397,0.006651296923418008
EINV2,noncausal,E1,0.2,evaluation,dcase2023_macro,3,"2026,2027,2028",0.3649517285880922,0.004614584981957759,0.7423577677259985,0.007636315376521246,9.465218098301056,0.615708666202684,,,,,0.7827280599229645,0.013734287138261064,0.2231126114824227,0.004954507875132759
EINV2,noncausal,E1,0.2,evaluation,dcase2023_micro,3,"2026,2027,2028",0.3649517285880922,0.004614584981957759,0.7295973871927822,0.006661127632909703,10.150181079342305,0.5798023779612196,,,,,0.7877512177492968,0.01323456289092606,0.22599825463281206,0.005062542116496829
EINV2,noncausal,E1,0.2,validation,dcase2020_source,3,"2026,2027,2028",0.38506009432527005,0.008328748329938239,0.7034796403498117,0.008260572677825814,10.09189208784407,0.26594750835670666,0.7698871257226787,0.0063221796327270745,0.24193984885186726,0.006077735176094061,,,,
